,value
0,3.166192134159635
1,2.2750067888943457
2,1.2957186035064208
3,2.1311112526025786
4,0.7247699834491375
5,2.1258818913484867
6,3.5888140403825846
7,2.8648956583992637
8,1.96932736235242
9,1.800326401913558
10,2.2206637365361397
11,2.412205244101317
12,2.0505868338465203
13,1.205772902289232
14,2.077609346484798
15,3.5578419056128214
16,1.5946005636870184
17,3.272552593700322
18,3.0672743245999574
19,2.771925768000953
20,2.3963874546185076
21,3.192308077912074
22,1.980912565437651
23,3.604702390852161
24,3.1892635454364155
25,2.11373838364531
26,1.918853344342537
27,2.1278472369457613
28,1.0806968305472175
29,2.360596706174822
30,2.438665131191883
31,2.2152969659941824
32,3.279343820679975
33,1.5026985984911898
34,3.4402833735989296
35,1.7935540295658718
36,3.272383922918623
37,2.2142216105922694
38,3.2190906675050868
39,2.2997995949013528
40,2.83298515708372
41,2.534056501260676
42,2.567462819607475
43,2.5355334528093243
44,2.44947532953617
45,2.36744982229059
46,0.86765793191841
47,2.458223392514359
48,1.1439004885871964
49,2.791935290520544
50,2.107487962089504
51,2.4363974927535716
52,2.6862735585559165
53,0.7621776171656317
54,3.033036598074
55,1.9943055141951616
56,2.9364830127555535
57,4.302917840411343
58,2.3379680850554267
59,4.511081607740874
60,4.789813639198782
61,2.037941466937347
62,4.429388088119855
63,2.958866899611533
64,4.351316950179112
65,3.346695279378619
66,3.5370479973102915
67,3.8211830728005047
68,3.759406067611076
69,2.016010255106891
70,2.7833556570762052
71,1.366485392819939
72,2.4748029277189914
73,2.3578656202606876
74,3.0597232300278594
75,2.5884550452661146
76,4.016926870007681
77,3.897197171731305
78,2.6160649340482727
79,1.6218746919761695
80,2.747361929569747
81,2.398934918938228
82,3.365898957603182
83,3.225859175623241
84,1.0957754503411286
85,2.4949637912086344
86,3.6406922223318245
87,2.0395802284446125
88,3.236395450823479
89,2.9834497025321607
90,3.0913227587994574
91,3.1575588756284843
92,2.4811930837124336
93,3.7455800045290153
94,2.1446872465120697
95,3.523121990914005
96,3.4580640090259642
97,1.2940788791951892
98,3.286280853824696
99,1.3351291200309257
100,3.082083911888798
101,2.261376643217967
102,1.530514472995132
103,3.0031262569798773
104,2.5373175646049546
105,2.0458381893738022
106,2.544860669288495
107,1.8333882000183719
108,2.2547937959953757
109,1.3566799068439295
110,3.2629000592666584
111,3.070100413366066
112,3.5614924262851795
113,1.5199256655209874
114,3.8218923650714594
115,1.8596651984444532
116,3.6502717514561325
117,2.929692593194127
118,3.5061457452404152
119,2.9314204297515385
120,2.8147067643630637
121,3.5093809533882023
122,2.5515259611517633
123,3.3758824702908807
124,2.048627962036919
125,3.972670025187175
126,2.1804401587012108
127,3.970017240825687
128,4.017524516821677
129,1.796741573492957
130,2.4860531716774465
131,1.4823263217650575
132,2.7295580088960962
133,2.6580180291957425
134,1.664492629821261
135,2.2599792739622373
136,1.7411040148867656
137,2.5673456456462485
138,2.5200699581264434
139,2.3454375580881752
140,2.828035455515577
141,2.4964793628534725
142,3.1685238185407476
143,1.6845938778463982
144,3.0041481265684693
145,1.284978204955517
146,2.9687970391239893
147,1.28524831508367
148,2.702339662690156
149,1.8250709283068736
150,2.3623462702106033
151,2.758955343497206
152,0.7067670100948887
153,2.7675053405947123
154,1.421415666256062
155,2.648349800936198
156,1.703386537780858
157,3.9354322128468713
158,1.7915897013150481
159,3.3256348102172106
160,3.922152544176106
161,3.2268706267645775
162,4.504127278838583
163,2.247310519850772
164,4.274807508332481
165,3.997463688906925
166,2.1312348788279327
167,3.54267265217844
168,2.9727841294655626
