time,VHM0,VTPK,VMDR
1993-01-01 00:00:00,1.68,9.87,115.83
1993-01-01 03:00:00,1.51,5.47,23.020004
1993-01-01 06:00:00,1.65,5.7,20.630005
1993-01-01 09:00:00,1.75,6.0699997,20.779999
1993-01-01 12:00:00,1.8,6.19,21.12001
1993-01-01 15:00:00,1.8299999,6.46,21.529999
1993-01-01 18:00:00,1.7199999,6.73,24.419998
1993-01-01 21:00:00,1.56,6.79,27.850006
1993-01-02 00:00:00,1.41,6.81,30.850006
1993-01-02 03:00:00,1.3299999,6.93,33.820007
1993-01-02 06:00:00,1.17,6.8399997,36.600006
1993-01-02 09:00:00,1.06,6.77,40.309998
1993-01-02 12:00:00,0.97999996,6.69,44.65001
1993-01-02 15:00:00,0.93,6.6499996,47.62001
1993-01-02 18:00:00,0.9,6.71,49.979996
1993-01-02 21:00:00,0.87,6.79,52.510002
1993-01-03 00:00:00,0.85999995,6.81,52.200005
1993-01-03 03:00:00,0.9,6.77,45.660004
1993-01-03 06:00:00,0.96,6.7,40.460007
1993-01-03 09:00:00,0.98999995,6.49,40.630005
1993-01-03 12:00:00,0.98999995,6.1299996,43.01001
1993-01-03 15:00:00,1.05,5.98,43.17
1993-01-03 18:00:00,1.04,5.65,47.559998
1993-01-03 21:00:00,1.06,5.66,52.340004
1993-01-04 00:00:00,1.0699999,5.73,53.800003
1993-01-04 03:00:00,1.06,5.9,53.15
1993-01-04 06:00:00,1.3199999,6.0099998,342.95
1993-01-04 09:00:00,1.68,5.5099998,254.58
1993-01-04 12:00:00,1.55,6.0,253.13
1993-01-04 15:00:00,1.31,5.98,257.54
1993-01-04 18:00:00,1.13,6.0099998,257.74
1993-01-04 21:00:00,0.97999996,6.3399997,120.33
1993-01-05 00:00:00,0.96999997,6.3999996,55.950005
1993-01-05 03:00:00,0.95,3.82,20.990005
1993-01-05 06:00:00,1.06,4.21,334.34998
1993-01-05 09:00:00,1.27,4.7599998,261.72998
1993-01-05 12:00:00,1.3,5.2999997,254.73
1993-01-05 15:00:00,1.25,5.49,255.13
1993-01-05 18:00:00,1.0699999,5.39,251.95999
1993-01-05 21:00:00,0.89,5.14,247.45
1993-01-06 00:00:00,0.97999996,3.72,315.41
1993-01-06 03:00:00,1.41,4.81,268.54
1993-01-06 06:00:00,2.3799999,6.71,252.32
1993-01-06 09:00:00,2.22,7.02,254.33
1993-01-06 12:00:00,1.91,6.7,251.11
1993-01-06 15:00:00,1.66,6.2999997,246.91
1993-01-06 18:00:00,1.3299999,5.96,244.70999
1993-01-06 21:00:00,1.04,5.6,238.91
1993-01-07 00:00:00,0.9,5.3599997,243.25
1993-01-07 03:00:00,1.0,3.84,308.59
1993-01-07 06:00:00,0.96999997,4.33,310.66998
1993-01-07 09:00:00,1.01,4.21,203.36
1993-01-07 12:00:00,0.96999997,4.3199997,190.29
1993-01-07 15:00:00,0.91999996,4.47,184.26
1993-01-07 18:00:00,0.84999996,4.5099998,175.88
1993-01-07 21:00:00,0.81,8.139999,173.47
1993-01-08 00:00:00,0.78,8.07,170.52
1993-01-08 03:00:00,0.77,8.2,160.81
1993-01-08 06:00:00,0.85999995,8.07,169.42
1993-01-08 09:00:00,1.0799999,4.52,175.52
1993-01-08 12:00:00,1.3299999,5.08,182.27
1993-01-08 15:00:00,1.53,5.74,186.46
1993-01-08 18:00:00,1.7099999,6.3799996,186.93
1993-01-08 21:00:00,1.67,6.87,180.77
1993-01-09 00:00:00,1.5799999,7.2799997,176.82
1993-01-09 03:00:00,1.49,7.44,175.12
1993-01-09 06:00:00,1.48,7.7599998,174.59
1993-01-09 09:00:00,1.28,7.5299997,175.28
1993-01-09 12:00:00,1.12,7.2599998,174.02
1993-01-09 15:00:00,0.96,6.71,170.83
1993-01-09 18:00:00,0.95,6.79,168.04
1993-01-09 21:00:00,0.95,6.89,163.63
1993-01-10 00:00:00,0.96,6.98,154.45
1993-01-10 03:00:00,1.13,6.7599998,101.340004
1993-01-10 06:00:00,1.49,4.93,15.800003
1993-01-10 09:00:00,1.4499999,5.65,7.4600067
1993-01-10 12:00:00,1.3299999,5.67,358.14
1993-01-10 15:00:00,1.1899999,5.29,322.34
1993-01-10 18:00:00,1.2099999,4.7799997,263.91998
1993-01-10 21:00:00,1.16,4.94,211.27
1993-01-11 00:00:00,1.1,8.83,174.29
1993-01-11 03:00:00,1.13,8.96,168.05
1993-01-11 06:00:00,1.5999999,5.1099997,249.85
1993-01-11 09:00:00,1.91,6.1099997,254.18
1993-01-11 12:00:00,2.03,6.41,247.68
1993-01-11 15:00:00,1.86,6.58,243.62
1993-01-11 18:00:00,1.5699999,6.27,238.73
1993-01-11 21:00:00,1.42,6.17,214.72
1993-01-12 00:00:00,1.52,7.94,185.52
1993-01-12 03:00:00,1.5699999,8.48,179.38
1993-01-12 06:00:00,1.5,8.82,180.26
1993-01-12 09:00:00,1.3,8.62,184.5
1993-01-12 12:00:00,1.54,5.12,234.94
1993-01-12 15:00:00,1.56,5.5899997,252.79999
1993-01-12 18:00:00,1.43,5.6299996,252.85
