time,VHM0,VTPK,VMDR
1993-01-01 00:00:00,1.68,9.87,115.83
1993-01-02 15:00:00,0.93,6.6499996,47.62001
1993-01-02 18:00:00,0.9,6.71,49.979996
1993-01-02 21:00:00,0.87,6.79,52.510002
1993-01-03 00:00:00,0.85999995,6.81,52.200005
1993-01-03 03:00:00,0.9,6.77,45.660004
1993-01-03 18:00:00,1.04,5.65,47.559998
1993-01-03 21:00:00,1.06,5.66,52.340004
1993-01-04 00:00:00,1.0699999,5.73,53.800003
1993-01-04 03:00:00,1.06,5.9,53.15
1993-01-04 21:00:00,0.97999996,6.3399997,120.33
1993-01-05 00:00:00,0.96999997,6.3999996,55.950005
1993-01-10 03:00:00,1.13,6.7599998,101.340004
1993-01-15 00:00:00,0.84999996,10.08,119.81
1993-01-18 12:00:00,1.25,8.2699995,123.61
1993-01-18 15:00:00,1.24,7.81,60.350006
1993-01-18 18:00:00,1.15,7.96,63.690002
1993-01-18 21:00:00,1.0799999,7.79,69.240005
1993-01-19 00:00:00,1.05,5.23,64.810005
1993-01-19 03:00:00,1.02,5.29,62.050003
1993-01-19 06:00:00,1.14,6.19,63.920006
1993-01-19 09:00:00,1.13,6.39,73.350006
1993-01-19 12:00:00,1.18,6.5,109.74
1993-01-19 21:00:00,0.88,9.3,129.13
1993-01-20 00:00:00,0.83,9.07,106.28
1993-01-30 18:00:00,0.95,5.95,48.5
1993-01-30 21:00:00,1.0,5.75,56.780006
1993-01-31 00:00:00,1.09,5.68,48.67
1993-02-06 03:00:00,0.78,8.679999,88.3
1993-02-06 06:00:00,0.78999996,3.55,56.020004
1993-02-06 09:00:00,0.76,3.79,53.240005
1993-02-07 18:00:00,0.96999997,7.58,103.020004
1993-02-09 18:00:00,1.17,7.21,69.93
1993-02-09 21:00:00,1.1,7.45,63.450005
1993-02-10 00:00:00,1.0799999,7.5,63.270004
1993-02-10 03:00:00,1.13,7.49,58.75
1993-02-10 06:00:00,1.2099999,7.45,52.030006
1993-02-10 09:00:00,1.25,7.18,45.630005
1993-02-10 18:00:00,0.88,8.82,51.01001
1993-02-10 21:00:00,0.82,8.91,56.32
1993-02-11 00:00:00,0.78999996,9.23,59.410004
1993-02-11 03:00:00,0.76,9.19,61.160004
1993-02-11 06:00:00,0.72999996,9.07,62.420006
1993-02-11 09:00:00,0.71,8.95,63.590004
1993-02-11 12:00:00,0.69,8.88,64.11
1993-02-11 15:00:00,0.7,8.88,64.25
1993-02-11 18:00:00,0.71,8.98,64.89
1993-02-11 21:00:00,0.71,9.13,65.990005
1993-02-12 00:00:00,0.84,9.44,56.72
